name,lat,long,Population,Income,Gini,White %,Household size,Agriculture employ.,liters 2014,liters 2014 capita,Population served,Conservation,SPEI_3YEARS,SPI_3YEARS,lat2,long2
Selma,36.570842,-119.613147,23538,16927,0.4156,56.90797859,3.639146568,19.87570985,546678539.7,21795.65185,25082,0.32,-2.515306782,-2.230197237,36.570842,-119.613147
South San Francisco,37.653823,-122.411714,64630,34203,0.3992,40.53999691,3.074837052,0.370576246,776229253.3,12632.9116,61445,0.08,-2.515306782,-2.230197237,37.653823,-122.411714
Stockton,37.958116,-121.29158,294406,20819,0.4577,44.63258222,3.257712566,3.857868943,2831701091,16600.03923,170584,0.2,-2.515306782,-2.230197237,37.958116,-121.29158
Visalia,36.327988,-119.295974,125502,24547,0.4419,80.26884034,3.056104807,5.140436575,3549956763,25555.98819,138909,0.32,-2.515306782,-2.230197237,36.327988,-119.295974
Westlake,34.147285,-118.808321,8320,48942,0.4715,88.38942308,2.510561255,0.446428571,742801932.8,38178.55329,19456,0.36,-2.515306782,-2.230197237,34.147285,-118.808321
Willows,39.523893,-122.193886,6138,21143,0.4838,75.87161942,2.657142857,13.6196319,142960385.3,20050.54492,7130,0.28,-2.515306782,-2.230197237,39.523893,-122.193886
Los Angeles,34.054322,-118.245602,3827261,22717,0.5257,52.4148732,2.897333,0.462933171,2046344083,19888.8519,102889,0.28,-2.515306782,-2.230197237,34.054322,-118.245602
Monterey,36.599049,-121.895309,27939,34380,0.4322,79.46240023,2.149980762,1.222455813,1244692797,12369.86372,100623,0.08,-2.515306782,-2.230197237,36.599049,-121.895309
Sacramento,38.580783,-121.499226,471477,25518,0.4603,50.33182955,2.658784851,0.628504742,3362467733,16693.97836,201418,0.2,-2.515306782,-2.230197237,38.580783,-121.499226
San Diego,32.727249,-117.192706,1322838,30992,0.4684,64.77240599,2.775858198,0.337648804,1099031090,11525.31607,95358,0.08,-2.515306782,-2.230197237,32.727249,-117.192706
Carlsbad,33.160309,-117.343683,107307,42563,0.4589,85.02613995,2.548738777,0.448673804,1691348406,19936.21262,84838,0.28,-2.515306782,-2.230197237,33.160309,-117.343683
Carmichael,38.619281,-121.335081,61659,29668,0.473,81.58419695,2.407238229,0.481007826,1073845828,27998.2747,38354,0.36,-2.515306782,-2.230197237,38.619281,-121.335081
Castaic Lake Water Agency Santa Clarita Water Division,34.414293,-118.509275,18415,44000,0.3564,72.03366821,3.21884286,0.285623612,2822203292,23192.12488,121688,0.32,-2.515306782,-2.230197237,34.414293,-118.509275
Citrus Heights,38.707231,-121.281376,84218,26574,0.3879,82.03590681,2.583929065,0.380878352,1465374786,21763.09961,67333,0.32,-2.515306782,-2.230197237,38.707231,-121.281376
Newman,37.316016,-121.020933,10401,19836,0.4101,84.86683973,3.502020202,5.848680936,264089305.5,24755.27798,10668,0.24,-2.515306782,-2.230197237,37.316016,-121.020933
Coachella Valley,33.76765,-116.358963,41625,17222,0.392,41.53273273,4.505845421,10.67130249,11846469683,37227.64555,318217,0.36,-2.515306782,-2.230197237,33.76765,-116.358963
Crescenta Valley,34.247844,-118.258,20286,42434,0.4267,62.12658977,2.833635983,0,424317278.1,13274.01859,31966,0.2,-2.515306782,-2.230197237,34.247844,-118.258
Discovery Bay,37.911142,-121.599918,13030,50033,0.4035,86.60015349,2.747785744,1.738410596,355828778.2,24024.62887,14811,0.32,-2.515306782,-2.230197237,37.911142,-121.599918
Dublin San Ramon,37.70654,-121.921571,47642,51072,0.3598,55.36291507,3.067739858,0.549141696,878813803.1,11075.43735,79348,0.12,-2.515306782,-2.230197237,37.70654,-121.921571
El Dorado,38.682295,-120.841302,44206,51578,0.3846,82.40057911,3.023252633,0.281548517,4736564965,39971.01236,118500,0.28,-2.515306782,-2.230197237,38.682295,-120.841302
Elk Grove,38.415891,-121.372174,155350,35631,0.3825,45.31252012,3.259751978,0.536615705,757488995.8,17132.72105,44213,0.28,-2.515306782,-2.230197237,38.415891,-121.372174
Elsinore Valley,33.680388,-117.339129,54260,25928,0.3733,59.40287505,3.764918124,1.01570144,2679982995,17930.14555,149468,0.28,-2.515306782,-2.230197237,33.680388,-117.339129
Fair Oaks,38.647938,-121.271047,31493,36117,0.4487,86.10167339,2.440939389,0.605030591,1275764170,35216.8103,36226,0.36,-2.515306782,-2.230197237,38.647938,-121.271047
Fallbrook,33.380068,-117.249158,30283,26577,0.4679,77.92821055,2.919969145,7.647710802,1353744805,38795.9192,34894,0.36,-2.515306782,-2.230197237,33.380068,-117.249158
Artesia,33.867394,-118.082676,16605,21451,0.3938,38.94610057,3.646245059,0.261064147,540264441.3,11260.67034,47978,0.16,-2.515306782,-2.230197237,33.867394,-118.082676
Barstow,34.899746,-117.017653,22909,21745,0.4358,63.02326597,2.837730707,1.03682517,718132323.6,23010.42403,31209,0.24,-2.515306782,-2.230197237,34.899746,-117.017653
Bay Point,38.033044,-121.962225,21582,20669,0.4269,52.45111667,3.384350008,0.766064487,188722510.3,8478.861997,22258,0.12,-2.515306782,-2.230197237,38.033044,-121.962225
Bell,33.979594,-118.186548,35704,17104,0.3876,65.13275823,3.922654362,1.576543392,514361351.7,8878.402177,57934,0.08,-2.515306782,-2.230197237,33.979594,-118.186548
Claremont,34.101325,-117.719248,35252,31009,0.4319,69.44286849,3.070999216,0.405719987,967418724.5,26033.8731,37160,0.32,-2.515306782,-2.230197237,34.101325,-117.719248
Culver City,34.024392,-118.396665,39105,42947,0.4432,64.55696203,2.35501355,0.632697416,557039775.6,15381.46557,36215,0.16,-2.515306782,-2.230197237,34.024392,-118.396665
Norwalk,33.905027,-118.080894,105940,23911,0.3763,50.46818954,3.912690205,0.45570064,489198350.3,11001.62709,44466,0.12,-2.515306782,-2.230197237,33.905027,-118.080894
Orcutt,34.869948,-120.438076,30212,32008,0.3851,86.77015755,2.739571999,4.615625735,603912033.1,18948.04321,31872,0.32,-2.515306782,-2.230197237,34.869948,-120.438076
Placentia,33.876947,-117.87089,51342,30174,0.4061,71.92162362,3.20247006,0.324108701,666572840.4,14321.65611,46543,0.24,-2.515306782,-2.230197237,33.876947,-117.87089
San Dimas,34.114953,-117.808121,33582,35279,0.4255,69.19480674,2.885051546,0.224985938,1166995863,21267.60211,54872,0.28,-2.515306782,-2.230197237,34.114953,-117.808121
Simi Valley,34.275658,-118.779906,124803,36617,0.3958,76.55825581,2.984718037,0.606851447,601321724.1,13871.00007,43351,0.24,-2.515306782,-2.230197237,34.275658,-118.779906
Groveland,37.842052,-120.230542,706,15991,0.391,95.89235127,2.255591054,0,49146147.21,14454.74918,3400,0.24,-2.515306782,-2.230197237,37.842052,-120.230542
Hesperia,34.429742,-117.30021,90804,20932,0.4185,75.1596846,3.508248657,0.509721847,1752775733,19129.46766,91627,0.32,-2.515306782,-2.230197237,34.429742,-117.30021
Humboldt Bay,40.723046,-124.242663,2523,18408,0.5725,87.19778042,2.389204545,0,60453038.17,100420.3292,602,0.04,-2.515306782,-2.230197237,40.723046,-124.242663
Indian Wells Valley,35.703777,-117.686282,5040,40456,0.5854,89.30555556,1.851579721,0.665778961,883333585.7,28384.75532,31120,0.36,-2.515306782,-2.230197237,35.703777,-117.686282
Joshua Basin,34.138034,-116.315883,7811,22969,0.4309,81.48764563,2.398955774,0,156333780.4,16431.97188,9514,0.28,-2.515306782,-2.230197237,34.138034,-116.315883
Laguna Beach,33.549694,-117.781622,22980,52909,0.5413,90.83550914,2.082653616,0.202908353,347964837.7,18198.04601,19121,0.24,-2.515306782,-2.230197237,33.549694,-117.781622
Lake Arrowhead,34.25544,-117.194181,10283,34524,0.3936,84.459788,2.698950131,1.705237515,201785068.4,9012.687856,22389,0.16,-2.515306782,-2.230197237,34.25544,-117.194181
Lamont,35.265858,-118.915669,16239,16003,0.4079,79.64160355,4.673093525,46.05000767,425063973.5,21243.63904,20009,0.28,-2.515306782,-2.230197237,35.265858,-118.915669
Livermore ,37.682064,-121.76669,82442,43082,0.3941,80.54874942,2.815642077,0.367296317,634181518.1,23459.53161,27033,0.2,-2.515306782,-2.230197237,37.682064,-121.76669
Los Angeles County Public Works Waterworks District 29,34.081696,-118.149961,127897,16917,0.4104,56.40241757,4.063059915,1.205746537,830132349.4,37361.37312,22219,0.36,-2.515306782,-2.230197237,34.081696,-118.149961
Los Angeles,34.085036,-118.299161,3827261,22717,0.5257,52.4148732,2.897333,0.462933171,5732316736,27666.82306,207191,0.32,-2.515306782,-2.230197237,34.085036,-118.299161
Mammoth,37.651109,-119.036746,8180,24654,0.3404,84.35207824,3.043154762,2.86348054,278023409,16609.32009,16739,0.2,-2.515306782,-2.230197237,37.651109,-119.036746
Marin,38.060113,-122.61658,2720,19409,0.5044,40.88235294,2.23316913,0,2922016531,15526.12397,188200,0.2,-2.515306782,-2.230197237,38.060113,-122.61658
Marina Coast,36.69937,-121.808226,19966,25244,0.4471,52.43914655,2.83527407,1.347510264,366047661.2,11306.49147,32375,0.12,-2.515306782,-2.230197237,36.69937,-121.808226
McKinleyville,40.946532,-124.101758,16922,24513,0.4315,85.35043139,2.585485103,5.308447461,158029617.1,9350.864915,16900,0.04,-2.515306782,-2.230197237,40.946532,-124.101758
Mesa,37.417926,-118.543917,425,46607,0.31,90.11764706,2.75974026,5.957446809,1669639150,15459.62176,108000,0.2,-2.515306782,-2.230197237,37.417926,-118.543917
Mission Springs,37.067227,-122.032419,3510,33582,0.4164,69.28774929,3.199635369,1.838476691,870837204.5,23160.56395,37600,0.28,-2.515306782,-2.230197237,37.067227,-122.032419
Montebello,34.015433,-118.112669,62943,22796,0.4409,65.33689211,3.251188017,0.326170376,341550739.3,10600.91062,32219,0.16,-2.515306782,-2.230197237,34.015433,-118.112669
Nipomo,35.04203,-120.476691,17256,26844,0.4167,83.32174316,3.028431028,4.567901235,223136615.2,17833.80876,12512,0.28,-2.515306782,-2.230197237,35.04203,-120.476691
North Marin,38.128202,-122.769016,5879,43750,0.5548,75.13182514,2.312745869,0.246652572,889571945.6,14512.01399,61299,0.24,-2.515306782,-2.230197237,38.128202,-122.769016
Oildale,35.420431,-119.020867,33222,18966,0.4496,85.69020529,2.707358813,10.01629363,1106431972,33363.44638,33163,0.36,-2.515306782,-2.230197237,35.420431,-119.020867
Olivehurst,39.095492,-121.554115,14191,18936,0.3568,62.96244098,3.335919135,6.890052356,443650349,22740.80419,19509,0.36,-2.515306782,-2.230197237,39.095492,-121.554115
Orange Vale,38.677035,-121.216684,33832,31847,0.3976,88.18574131,2.644157874,0.203305352,525746376.3,36809.2401,14283,0.36,-2.515306782,-2.230197237,38.677035,-121.216684
Palmdale,34.577999,-118.122036,153885,22915,0.4226,42.68902102,3.706286127,0.658436214,2434026991,20949.03941,116188,0.32,-2.515306782,-2.230197237,34.577999,-118.122036
Paradise,39.760544,-121.620524,248,27313,0.4014,87.90322581,2.455445545,2.962962963,650333873.4,24982.09409,26032,0.36,-2.515306782,-2.230197237,39.760544,-121.620524
Placer,39.117885,-120.739624,10383,21119,0.4614,84.01232784,2.659579918,2.476329206,3413580951,35663.26725,95717,0.32,-2.515306782,-2.230197237,39.117885,-120.739624
Quartz Hill,34.645364,-118.217838,11088,26620,0.4517,81.2049062,2.975845411,1.112689394,636586930.4,31278.83896,20352,0.36,-2.515306782,-2.230197237,34.645364,-118.217838
Rainbow,33.409749,-117.146466,1828,23626,0.4448,79.15754923,2.753012048,13.15789474,2537269306,130149.7464,19495,0.36,-2.515306782,-2.230197237,33.409749,-117.146466
Ramona,33.041607,-116.879811,22354,24158,0.4089,86.21275834,3.426425506,3.576465847,514361351.7,14067.42566,36564,0.28,-2.515306782,-2.230197237,33.041607,-116.879811
Rosamond,34.866252,-118.162721,18700,27375,0.4083,68.09090909,3.143385443,0.49894958,289205517.6,16339.29478,17700,0.28,-2.515306782,-2.230197237,34.866252,-118.162721
Rowland,33.977798,-117.905227,50263,25334,0.4524,23.29347631,3.472640597,0.22442814,1167119211,18792.3745,62106,0.2,-2.515306782,-2.230197237,33.977798,-117.905227
Sacramento,38.578636,-121.49236,471477,25518,0.4603,50.33182955,2.658784851,0.628504742,3868388864,22317.67098,173333,0.32,-2.515306782,-2.230197237,38.578636,-121.49236
San Gabriel,34.096129,-118.105616,39953,23770,0.4362,22.03338923,3.238207165,0.880190535,596276789,13250.59531,45000,0.2,-2.515306782,-2.230197237,34.096129,-118.105616
San Jose,37.334613,-121.877158,968903,32366,0.4434,45.93545484,3.15652936,0.387225488,12681889072,12809.98896,990000,0.2,-2.515306782,-2.230197237,37.334613,-121.877158
San Lorenzo Valley,37.079473,-122.073528,24057,29534,0.3562,53.09889014,3.196094061,0.106600338,185044970.7,9739.208984,19000,0.12,-2.515306782,-2.230197237,37.079473,-122.073528
Santa Margarita,35.391217,-120.609468,1372,49601,0.4439,91.25364431,2.828865979,0,2970220947,19154.80671,155064,0.24,-2.515306782,-2.230197237,35.391217,-120.609468
Scotts Valley,37.050795,-122.013066,11618,41012,0.3976,86.02169048,2.74852141,0,135385911.5,12882.85388,10509,0.16,-2.515306782,-2.230197237,37.050795,-122.013066
Soquel Creek,36.987256,-121.949604,10218,37033,0.4306,86.8565277,2.549401198,1.252408478,379525460.7,9718.712983,39051,0.08,-2.515306782,-2.230197237,36.987256,-121.949604
South Tahoe,38.938074,-119.978858,172,18523,0.3769,75,2.422535211,0,815010674.9,24604.83863,33124,0.2,-2.515306782,-2.230197237,38.938074,-119.978858
Tahoe City,39.143923,-120.172451,1712,35174,0.3381,92.93224299,2.473988439,1.776384535,183218849.8,14282.72917,12828,0.2,-2.515306782,-2.230197237,39.143923,-120.172451
Truckee-Donner,39.328372,-120.181541,16132,29249,0.4589,92.44978924,2.560228535,1.138174368,581293388.4,17735.33648,32776,0.28,-2.515306782,-2.230197237,39.328372,-120.181541
Tuolumne Utilities,37.962758,-120.241714,1867,18848,0.4652,87.30583824,2.296432964,5.069124424,532863558.6,18376.50649,28997,0.24,-2.515306782,-2.230197237,37.962758,-120.241714
Twentynine Palms,34.138006,-116.058979,25462,24312,0.4149,73.78446312,3.219370338,0.444748546,309524652.6,16468.45718,18795,0.28,-2.515306782,-2.230197237,34.138006,-116.058979
Valley Center,33.217492,-117.032692,10712,32115,0.3629,82.94436146,3.441053646,1.929325751,3073216565,120717.1249,25458,0.36,-2.515306782,-2.230197237,33.217492,-117.032692
Victorville,34.530597,-117.292085,117551,22154,0.417,60.00374306,3.737591809,1.050282263,2478062244,19684.50177,125889,0.28,-2.515306782,-2.230197237,34.530597,-117.292085
Adelanto,34.6093615,-117.6754371,31376,17110,0.427,57.48980112,4.213240231,0.733724653,455693904,15865.12217,28723,0.2,-2.164464696,-1.659207743,34.6093615,-117.6754371
Alhambra,37.8012978,-122.4405747,83799,24899,0.4343,26.85234907,2.85428659,0.276542022,1025022262,12049.44588,85068,0.24,-1.947805643,-1.301461457,37.8012978,-122.4405747
American Canyon,34.4311491,-119.7177312,19656,33125,0.3837,44.56654457,3.513764748,0.663981713,365110216.1,18182.77968,20080,0.2,-2.191422233,-1.686251237,34.4311491,-119.7177312
Anaheim,33.780285,-117.8927186,340081,25284,0.4339,62.63743049,3.433219593,0.369648801,6331455200,17580.44105,360142,0.2,-2.491475993,-1.866143132,33.780285,-117.8927186
Anderson,37.7385568,-122.4152012,10025,17446,0.4157,86.08478803,2.55609383,2.794520548,314079463.4,28176.14276,11147,0.36,-1.947648152,-1.330311649,37.7385568,-122.4152012
Antioch,38.0130582,-121.8700473,104035,27171,0.4103,51.06742923,3.229195766,0.428642332,1729978953,15974.24655,108298,0.28,-2.040757525,-1.091323222,38.0130582,-121.8700473
Arcadia,34.1358596,-118.0506039,56758,36899,0.4972,31.90034885,2.894782476,0.114107489,1661498179,28825.93694,57639,0.36,-2.365034907,-1.944265532,34.1358596,-118.0506039
Arcata,40.8807148,-124.0769691,17559,14014,0.4863,83.10268239,2.652416918,2.154195011,230736035.6,12496.53572,18464,0.04,-1.629446636,-1.479974886,40.8807148,-124.0769691
Arroyo Grande,35.0952135,-120.5816419,17411,30069,0.4155,86.73252542,2.486930439,2.307969708,243735738.8,14236.06909,17121,0.28,-2.646418124,-2.28044667,35.0952135,-120.5816419
Atwater,37.3442019,-120.599126,28423,20428,0.4746,69.50357105,3.269266161,7.594681708,923262117.1,31297.02092,29500,0.36,-2.467515745,-1.999312241,37.3442019,-120.599126
Azusa,34.1344168,-117.8791415,46843,19126,0.4215,43.88702688,3.940028598,1.088027013,2037445740,18522.234,110000,0.2,-2.430121793,-2.003775576,34.1344168,-117.8791415
Bakersfield,35.3683434,-119.0060412,352918,24605,0.4458,65.51975246,3.210330022,10.30289646,4769492437,33316.28297,143158,0.36,-2.494305834,-2.007039449,35.3683434,-119.0060412
Banning,33.916774,-116.9814616,29968,21736,0.406,72.28043246,2.44776607,0.716960942,896740294.2,29570.99074,30325,0.32,-2.072091137,-1.68009949,33.916774,-116.9814616
Benicia,38.086214,-122.139308,27225,43553,0.4103,73.68962351,2.544630339,1.938013167,532370166.4,18955.0013,28086,0.2,-1.875231267,-1.166200225,38.086214,-122.139308
Beverly Hills,37.720716,-122.471936,34341,48304,0.6215,83.5182435,2.364919771,0.04200168,1204617017,28574.54318,42157,0.32,-1.920734758,-1.378252674,37.720716,-122.471936
Blythe,33.6185324,-114.6024157,20405,14276,0.4548,62.67091399,4.023067823,6.021126761,401632269.9,29021.76963,13839,0.32,-1.691342916,-0.402643351,33.6185324,-114.6024157
Brawley,36.8190113,-119.8625116,25191,19863,0.5003,82.12059863,3.33302461,10.01741149,699165695.1,25201.51732,27743,0.32,-2.634647825,-2.419735027,36.8190113,-119.8625116
Brea,33.9314078,-117.9482718,39843,36997,0.3964,71.67883944,2.825544288,0.53841896,1139735945,26304.83624,43328,0.24,-2.492902989,-1.907688773,33.9314078,-117.9482718
Brentwood,37.7335874,-122.4590888,52494,39826,0.3813,75.62769078,3.179527559,1.561474872,1071271747,18962.91128,56493,0.32,-1.909407043,-1.358652699,37.7335874,-122.4590888
Buena Park,37.1505365,-122.1262019,81522,26122,0.3971,57.53293589,3.542432538,0.778816199,1503612680,18166.81383,82767,0.2,-2.114484897,-1.835614524,37.1505365,-122.1262019
Burbank,34.1549604,-118.3360151,103850,32612,0.4362,75.11892152,2.528855988,0.149265012,1711454138,16133.0091,106084,0.24,-2.415219341,-1.973004617,34.1549604,-118.3360151
Burbank,34.1549604,-118.3360151,5704,26532,0.4269,58.81837307,2.684235294,0,1711454138,16133.0091,106084,0.24,-2.415219341,-1.973004617,34.1549604,-118.3360151
Burlingame,37.5577356,-122.3174214,29237,48551,0.5051,68.9947669,2.396671858,0.231145159,418896143.4,13833.17295,30282,0.16,-2.180858372,-1.381890159,37.5577356,-122.3174214
Calaveras,38.2611957,-120.3176838,6142,27932,0.3705,85.3956366,2.817431193,5.998356615,600305861.3,12344.35248,48630,0.16,-2.369646108,-2.057638414,38.2611957,-120.3176838
Calexico,32.6886279,-115.5009205,38768,14479,0.4612,64.44232357,4.083851259,9.696969697,736981966.3,17960.71373,41033,0.2,-2.036386216,-0.358683059,32.6886279,-115.5009205
California City,35.125801,-117.985904,13333,21094,0.4165,66.64666617,2.815839493,3.134432319,547912020.2,38803.96744,14120,0.36,-2.142533561,-1.609355416,35.125801,-117.985904
Palos Verdes,33.7552981,-118.359861,13500,68885,0.5022,73.37037037,2.804320731,0,1951119391,27906.62211,69916,0.36,-2.612519273,-1.952170159,33.7552981,-118.359861
Camarillo,34.2226853,-119.051646,65476,37774,0.4192,73.95076058,2.77440678,1.312676239,927577305.7,19659.14218,47183,0.2,-2.517279735,-1.910993482,34.2226853,-119.051646
Ceres,37.6314138,-121.0102313,46022,19722,0.4621,70.19903524,3.471524478,3.93608074,852387838.2,17892.64758,47639,0.28,-2.208901194,-1.458282584,37.6314138,-121.0102313
Cerritos,34.127916,-117.3679017,49345,36365,0.392,23.15736143,3.273083046,0.146614537,765670660.6,15612.86802,49041,0.28,-2.148205733,-1.599520796,34.127916,-117.3679017
Chino,34.0557195,-117.65076,79342,27438,0.3968,60.55052809,3.783595613,0.583880094,1581050584,20250.92649,78073,0.24,-2.427716438,-1.880812974,34.0557195,-117.65076
Chino Hills,33.9878942,-117.7148128,75551,40100,0.3816,54.67432595,3.321945214,0.261922951,1538248641,20581.88125,74738,0.28,-2.473560186,-1.812376822,33.9878942,-117.7148128
Big Bear Lake,34.2589679,-116.8550089,5080,20464,0.5186,81.77165354,2.34209313,0.996852046,288864830.5,11275.41397,25619,0.16,-1.799823671,-1.639715551,34.2589679,-116.8550089
Clovis,36.8664951,-119.6151525,97100,29642,0.429,70.39855819,2.940909229,1.41056137,2930363551,27076.08592,108227,0.36,-2.481074327,-2.266446412,36.8664951,-119.6151525
Coalinga,36.1397061,-120.3655095,16609,24142,0.4477,62.50827864,3.498104465,12.22927862,489691742.5,29626.2171,16529,0.32,-2.471736622,-1.968684112,36.1397061,-120.3655095
Colton,37.7726825,-122.4206911,52650,19630,0.4226,56.73694207,3.560319178,0.630717381,1128264576,23788.49599,47429,0.2,-1.940198357,-1.318344145,37.7726825,-122.4206911
Compton,32.801227,-116.965457,97040,17680,0.4136,35.68837593,4.1775367,0.710464247,844934114.9,10308.72607,81963,0.08,-2.289564473,-1.644228525,32.801227,-116.965457
Corcoran,36.0981823,-119.5579022,24043,16613,0.4421,64.98773032,6.838168373,21.99261993,673727722.8,27893.00832,24154,0.36,-2.430871369,-1.980675831,36.0981823,-119.5579022
Corona,37.7228459,-122.4671094,155227,31445,0.3973,69.80486642,3.496103604,0.52473981,3696938295,21996.41991,168070,0.28,-1.91941358,-1.373910855,37.7228459,-122.4671094
Crescent City,37.7350295,-122.4197788,7470,15940,0.4531,66.35876841,4.15461624,2.659574468,224664233.9,12283.44636,18290,0.16,-1.941079853,-1.334261108,37.7350295,-122.4197788
Daly City,37.7507931,-122.4158477,102605,30523,0.3907,24.49393304,3.285883559,0.268807168,723006450.3,6833.063513,105810,0.08,-1.946267803,-1.32609822,37.7507931,-122.4158477
Davis,37.7947692,-122.3978515,65770,22003,0.5129,64.11585829,2.757305161,0.887828162,1301424829,19050.35247,68315,0.28,-1.992634293,-1.291994959,37.7947692,-122.3978515
Delano,37.7273579,-122.4398919,52792,13989,0.4156,65.82815578,5.012533232,37.67565515,1078759293,19860.0702,54318,0.24,-1.918495788,-1.350945623,37.7273579,-122.4398919
Diablo,38.0024883,-121.7343597,1183,70990,0.5742,73.96449704,3.056847545,0,587306754.7,15376.9376,38194,0.28,-2.108425617,-1.143359145,38.0024883,-121.7343597
Downey,37.765665,-122.446687,112334,26429,0.4062,59.92486691,3.432561266,0.351772392,1550743969,13854.46363,111931,0.2,-1.902179954,-1.321332345,37.765665,-122.446687
East Palo Alto,37.4179796,-122.2025398,28597,21723,0.4447,54.50222051,3.981759955,1.07855763,192266568.8,6597.349921,29143,0.08,-2.258146126,-1.439375437,37.4179796,-122.2025398
El Centro,32.8040134,-115.575068,42888,18229,0.4845,65.21637754,3.318220503,6.563513851,914071135.5,20628.53773,44311,0.24,-2.170838137,-0.43802874,32.8040134,-115.575068
El Monte,38.6038155,-121.4678366,114412,18746,0.4266,45.8640702,3.942386548,0.401475694,224989779.4,9795.793251,22968,0.08,-1.980965059,-1.27581742,38.6038155,-121.4678366
El Segundo,33.9120651,-118.3960598,16760,45064,0.4017,81.44988067,2.484803558,0.277161863,936081628.6,56207.61551,16654,0.2,-2.561260949,-1.818073188,33.9120651,-118.3960598
Escondido,37.7349251,-122.4904002,145859,24553,0.4587,81.66174182,3.284298935,3.21262528,2196828699,16387.76229,134053,0.2,-1.86877242,-1.299758155,37.7349251,-122.4904002
Eureka,37.758956,-122.438341,27037,20090,0.4297,81.85079706,2.435765766,1.178299648,380736792.7,14074.25672,27052,0.04,-1.912573867,-1.33071464,37.758956,-122.438341
Exeter,38.554058,-121.42819,10381,20416,0.4718,87.36152586,3.140048397,11.17448794,244309465,23109.10566,10572,0.36,-1.980956178,-1.07123452,38.554058,-121.42819
Fairfield,38.2377568,-122.0414869,106533,28871,0.411,47.45571795,3.122395146,1.527768671,2377239072,22105.62648,107540,0.2,-2.014398989,-1.13923866,38.2377568,-122.0414869
Fillmore,37.7850955,-122.4308097,15076,23557,0.4128,69.5741576,3.625781626,7.925937957,238276577.4,15653.43433,15222,0.28,-1.940133304,-1.311074849,37.7850955,-122.4308097
Folsom,37.7904501,-122.3905084,72424,44066,0.3726,71.04965205,2.934046346,0.134207241,2416388221,38127.81211,63376,0.32,-1.995910059,-1.294764184,37.7904501,-122.3905084
